state,updatedon,totaltested,positive
Andaman and Nicobar Islands,17/04/2020,1403,12
Andaman and Nicobar Islands,24/04/2020,2679,27
Andaman and Nicobar Islands,27/04/2020,2848,33
Andaman and Nicobar Islands,01/05/2020,3754,33
Andaman and Nicobar Islands,16/05/2020,6677,33
Andaman and Nicobar Islands,19/05/2020,6965,33
Andaman and Nicobar Islands,20/05/2020,7082,33
Andaman and Nicobar Islands,21/05/2020,7167,33
Andaman and Nicobar Islands,22/05/2020,7263,33
Andaman and Nicobar Islands,23/05/2020,7327,33
Andaman and Nicobar Islands,24/05/2020,7327,33
Andaman and Nicobar Islands,25/05/2020,7363,33
Andaman and Nicobar Islands,26/05/2020,7448,33
Andaman and Nicobar Islands,27/05/2020,7499,33
Andaman and Nicobar Islands,28/05/2020,7519,33
Andaman and Nicobar Islands,29/05/2020,7567,33
Andaman and Nicobar Islands,30/05/2020,7567,33
Andaman and Nicobar Islands,31/05/2020,7706,33
Andaman and Nicobar Islands,01/06/2020,7805,33
Andaman and Nicobar Islands,02/06/2020,8086,33
Andaman and Nicobar Islands,03/06/2020,8295,33
Andaman and Nicobar Islands,04/06/2020,8413,33
Andaman and Nicobar Islands,05/06/2020,8694,33
Andaman and Nicobar Islands,06/06/2020,9037,33
Andaman and Nicobar Islands,07/06/2020,9242,33
Andaman and Nicobar Islands,08/06/2020,9341,33
Andaman and Nicobar Islands,09/06/2020,9859,33
Andaman and Nicobar Islands,10/06/2020,10010,35
Andaman and Nicobar Islands,11/06/2020,10226,38
Andaman and Nicobar Islands,12/06/2020,10697,38
Andaman and Nicobar Islands,13/06/2020,10955,38
Andaman and Nicobar Islands,14/06/2020,11356,38
Andaman and Nicobar Islands,15/06/2020,11518,41
Andaman and Nicobar Islands,16/06/2020,11809,44
Andaman and Nicobar Islands,17/06/2020,12239,44
Andaman and Nicobar Islands,18/06/2020,12622,45
Andaman and Nicobar Islands,19/06/2020,12930,47
Andaman and Nicobar Islands,20/06/2020,13320,47
Andaman and Nicobar Islands,21/06/2020,13434,48
Andaman and Nicobar Islands,22/06/2020,13511,48
Andaman and Nicobar Islands,23/06/2020,13723,50
Andaman and Nicobar Islands,24/06/2020,13994,56
Andaman and Nicobar Islands,25/06/2020,14277,59
Andaman and Nicobar Islands,26/06/2020,14583,72
Andhra Pradesh,02/04/2020,1800,132
Andhra Pradesh,10/04/2020,6374,365
Andhra Pradesh,11/04/2020,6958,381
Andhra Pradesh,12/04/2020,6958,405
Andhra Pradesh,13/04/2020,8755,432
Andhra Pradesh,14/04/2020,10505,473
Andhra Pradesh,15/04/2020,11613,525
Andhra Pradesh,16/04/2020,20235,534
Andhra Pradesh,17/04/2020,20235,572
Andhra Pradesh,18/04/2020,21450,603
Andhra Pradesh,19/04/2020,26958,647
Andhra Pradesh,20/04/2020,30733,722
Andhra Pradesh,21/04/2020,35755,757
Andhra Pradesh,22/04/2020,41512,813
Andhra Pradesh,23/04/2020,48032,893
Andhra Pradesh,24/04/2020,54338,955
Andhra Pradesh,25/04/2020,61266,1016
Andhra Pradesh,26/04/2020,68034,1097
Andhra Pradesh,27/04/2020,74551,1177
Andhra Pradesh,28/04/2020,80334,1259
Andhra Pradesh,29/04/2020,88061,1332
Andhra Pradesh,30/04/2020,94558,1403
Andhra Pradesh,01/05/2020,102460,1463
Andhra Pradesh,02/05/2020,108403,1525
Andhra Pradesh,03/05/2020,114937,1583
Andhra Pradesh,04/05/2020,125229,1650
Andhra Pradesh,05/05/2020,133492,1717
Andhra Pradesh,06/05/2020,141274,1777
Andhra Pradesh,07/05/2020,149361,1833
Andhra Pradesh,08/05/2020,156681,1887
Andhra Pradesh,09/05/2020,165069,1930
Andhra Pradesh,10/05/2020,173735,1980
Andhra Pradesh,11/05/2020,181144,2018
Andhra Pradesh,12/05/2020,191874,2051
Andhra Pradesh,13/05/2020,201196,2137
Andhra Pradesh,14/05/2020,210452,2100
Andhra Pradesh,15/05/2020,219490,2157
